variable,expression,result
G,\arctan (  ( \cot ( G ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } { 1 +  ( \cot ( G ) )  ^ { 2 } }
G, ( \cot ( G ) )  + T,(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) 1
G,W -  ( \cot ( G ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) - 1
G, ( \cot ( G ) )  W,(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) W
G,\frac { 1 } {  ( \cot ( G ) )  + \varpi },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) - \frac { 1 } { (  ( \cot ( G ) )  + \varpi ) ^ { 2 } }
G,\frac { 1 } { \kappa -  ( \cot ( G ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( G ) } ) \frac { 1 } { ( \kappa -  ( \cot ( G ) )  ) ^ { 2 } }
H, ( \cot ( H ) )  ^ { W },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) W  ( \cot ( H ) )  ^ { W - 1 }
H, ( \cot ( H ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) 0
H,f ^ {  ( \cot ( H ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) f ^ {  ( \cot ( H ) )  } \ln ( f )
H,e ^ {  ( \cot ( H ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) e ^ {  ( \cot ( H ) )  }
H,\exp (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \exp (  ( \cot ( H ) )  )
H,\ln (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } {  ( \cot ( H ) )  }
H,\log _ { \vartheta } (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } {  ( \cot ( H ) )  \ln ( { \vartheta } ) }
H,\sin (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \cos (  ( \cot ( H ) )  )
H,\cos (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) - \sin (  ( \cot ( H ) )  )
H,\tan (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( H ) )  ) }
H,\cot (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( H ) )  ) }
H,\arcsin (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( H ) )  ^ { 2 } } }
H,\arccos (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( H ) )  ^ { 2 } } }
H,\arctan (  ( \cot ( H ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } { 1 +  ( \cot ( H ) )  ^ { 2 } }
H, ( \cot ( H ) )  + s,(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) 1
H,S -  ( \cot ( H ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) - 1
H, ( \cot ( H ) )  \chi,(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \chi
H,\frac { 1 } {  ( \cot ( H ) )  + 9 },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) - \frac { 1 } { (  ( \cot ( H ) )  + 9 ) ^ { 2 } }
H,\frac { 1 } { 1 -  ( \cot ( H ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( H ) } ) \frac { 1 } { ( 1 -  ( \cot ( H ) )  ) ^ { 2 } }
I, ( \cot ( I ) )  ^ { 5 },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) 5  ( \cot ( I ) )  ^ { 5 - 1 }
I, ( \cot ( I ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) 0
I,b ^ {  ( \cot ( I ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) b ^ {  ( \cot ( I ) )  } \ln ( b )
I,e ^ {  ( \cot ( I ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) e ^ {  ( \cot ( I ) )  }
I,\exp (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \exp (  ( \cot ( I ) )  )
I,\ln (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } {  ( \cot ( I ) )  }
I,\log _ { c } (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } {  ( \cot ( I ) )  \ln ( { c } ) }
I,\sin (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \cos (  ( \cot ( I ) )  )
I,\cos (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) - \sin (  ( \cot ( I ) )  )
I,\tan (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( I ) )  ) }
I,\cot (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( I ) )  ) }
I,\arcsin (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( I ) )  ^ { 2 } } }
I,\arccos (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( I ) )  ^ { 2 } } }
I,\arctan (  ( \cot ( I ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } { 1 +  ( \cot ( I ) )  ^ { 2 } }
I, ( \cot ( I ) )  + H,(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) 1
I,\Theta -  ( \cot ( I ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) - 1
I, ( \cot ( I ) )  \omega,(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \omega
I,\frac { 1 } {  ( \cot ( I ) )  + l },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) - \frac { 1 } { (  ( \cot ( I ) )  + l ) ^ { 2 } }
I,\frac { 1 } { o -  ( \cot ( I ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( I ) } ) \frac { 1 } { ( o -  ( \cot ( I ) )  ) ^ { 2 } }
J, ( \cot ( J ) )  ^ { P },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) P  ( \cot ( J ) )  ^ { P - 1 }
J, ( \cot ( J ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) 0
J,V ^ {  ( \cot ( J ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) V ^ {  ( \cot ( J ) )  } \ln ( V )
J,e ^ {  ( \cot ( J ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) e ^ {  ( \cot ( J ) )  }
J,\exp (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \exp (  ( \cot ( J ) )  )
J,\ln (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } {  ( \cot ( J ) )  }
J,\log _ { U } (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } {  ( \cot ( J ) )  \ln ( { U } ) }
J,\sin (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \cos (  ( \cot ( J ) )  )
J,\cos (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) - \sin (  ( \cot ( J ) )  )
J,\tan (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( J ) )  ) }
J,\cot (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( J ) )  ) }
J,\arcsin (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( J ) )  ^ { 2 } } }
J,\arccos (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( J ) )  ^ { 2 } } }
J,\arctan (  ( \cot ( J ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } { 1 +  ( \cot ( J ) )  ^ { 2 } }
J, ( \cot ( J ) )  + \varrho,(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) 1
J,R -  ( \cot ( J ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) - 1
J, ( \cot ( J ) )  R,(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) R
J,\frac { 1 } {  ( \cot ( J ) )  + \gamma },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) - \frac { 1 } { (  ( \cot ( J ) )  + \gamma ) ^ { 2 } }
J,\frac { 1 } { Y -  ( \cot ( J ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( J ) } ) \frac { 1 } { ( Y -  ( \cot ( J ) )  ) ^ { 2 } }
K, ( \cot ( K ) )  ^ { E },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) E  ( \cot ( K ) )  ^ { E - 1 }
K, ( \cot ( K ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) 0
K, ^ {  ( \cot ( K ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } )  ^ {  ( \cot ( K ) )  } \ln (  )
K,e ^ {  ( \cot ( K ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) e ^ {  ( \cot ( K ) )  }
K,\exp (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \exp (  ( \cot ( K ) )  )
K,\ln (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } {  ( \cot ( K ) )  }
K,\log _ { D } (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } {  ( \cot ( K ) )  \ln ( { D } ) }
K,\sin (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \cos (  ( \cot ( K ) )  )
K,\cos (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) - \sin (  ( \cot ( K ) )  )
K,\tan (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( K ) )  ) }
K,\cot (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( K ) )  ) }
K,\arcsin (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( K ) )  ^ { 2 } } }
K,\arccos (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( K ) )  ^ { 2 } } }
K,\arctan (  ( \cot ( K ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } { 1 +  ( \cot ( K ) )  ^ { 2 } }
K, ( \cot ( K ) )  + \xi,(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) 1
K,U -  ( \cot ( K ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) - 1
K, ( \cot ( K ) )  a,(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) a
K,\frac { 1 } {  ( \cot ( K ) )  + \varrho },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) - \frac { 1 } { (  ( \cot ( K ) )  + \varrho ) ^ { 2 } }
K,\frac { 1 } { \lambda -  ( \cot ( K ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( K ) } ) \frac { 1 } { ( \lambda -  ( \cot ( K ) )  ) ^ { 2 } }
L, ( \cot ( L ) )  ^ { j },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) j  ( \cot ( L ) )  ^ { j - 1 }
L, ( \cot ( L ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) 0
L,\Psi ^ {  ( \cot ( L ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \Psi ^ {  ( \cot ( L ) )  } \ln ( \Psi )
L,e ^ {  ( \cot ( L ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) e ^ {  ( \cot ( L ) )  }
L,\exp (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \exp (  ( \cot ( L ) )  )
L,\ln (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } {  ( \cot ( L ) )  }
L,\log _ { r } (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } {  ( \cot ( L ) )  \ln ( { r } ) }
L,\sin (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \cos (  ( \cot ( L ) )  )
L,\cos (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) - \sin (  ( \cot ( L ) )  )
L,\tan (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( L ) )  ) }
L,\cot (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( L ) )  ) }
L,\arcsin (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( L ) )  ^ { 2 } } }
L,\arccos (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( L ) )  ^ { 2 } } }
L,\arctan (  ( \cot ( L ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } { 1 +  ( \cot ( L ) )  ^ { 2 } }
L, ( \cot ( L ) )  + \Xi,(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) 1
L,K -  ( \cot ( L ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) - 1
L, ( \cot ( L ) )  \mu,(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \mu
L,\frac { 1 } {  ( \cot ( L ) )  + \pi },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) - \frac { 1 } { (  ( \cot ( L ) )  + \pi ) ^ { 2 } }
L,\frac { 1 } { \zeta -  ( \cot ( L ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( L ) } ) \frac { 1 } { ( \zeta -  ( \cot ( L ) )  ) ^ { 2 } }
M, ( \cot ( M ) )  ^ { \varphi },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \varphi  ( \cot ( M ) )  ^ { \varphi - 1 }
M, ( \cot ( M ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) 0
M,x ^ {  ( \cot ( M ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) x ^ {  ( \cot ( M ) )  } \ln ( x )
M,e ^ {  ( \cot ( M ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) e ^ {  ( \cot ( M ) )  }
M,\exp (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \exp (  ( \cot ( M ) )  )
M,\ln (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } {  ( \cot ( M ) )  }
M,\log _ { A } (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } {  ( \cot ( M ) )  \ln ( { A } ) }
M,\sin (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \cos (  ( \cot ( M ) )  )
M,\cos (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) - \sin (  ( \cot ( M ) )  )
M,\tan (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( M ) )  ) }
M,\cot (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( M ) )  ) }
M,\arcsin (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( M ) )  ^ { 2 } } }
M,\arccos (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( M ) )  ^ { 2 } } }
M,\arctan (  ( \cot ( M ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } { 1 +  ( \cot ( M ) )  ^ { 2 } }
M, ( \cot ( M ) )  + G,(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) 1
M,\zeta -  ( \cot ( M ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) - 1
M, ( \cot ( M ) )  n,(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) n
M,\frac { 1 } {  ( \cot ( M ) )  + G },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) - \frac { 1 } { (  ( \cot ( M ) )  + G ) ^ { 2 } }
M,\frac { 1 } { T -  ( \cot ( M ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( M ) } ) \frac { 1 } { ( T -  ( \cot ( M ) )  ) ^ { 2 } }
N, ( \cot ( N ) )  ^ { i },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) i  ( \cot ( N ) )  ^ { i - 1 }
N, ( \cot ( N ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) 0
N,E ^ {  ( \cot ( N ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) E ^ {  ( \cot ( N ) )  } \ln ( E )
N,e ^ {  ( \cot ( N ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) e ^ {  ( \cot ( N ) )  }
N,\exp (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \exp (  ( \cot ( N ) )  )
N,\ln (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } {  ( \cot ( N ) )  }
N,\log _ { \varphi } (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } {  ( \cot ( N ) )  \ln ( { \varphi } ) }
N,\sin (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \cos (  ( \cot ( N ) )  )
N,\cos (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) - \sin (  ( \cot ( N ) )  )
N,\tan (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( N ) )  ) }
N,\cot (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( N ) )  ) }
N,\arcsin (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( N ) )  ^ { 2 } } }
N,\arccos (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( N ) )  ^ { 2 } } }
N,\arctan (  ( \cot ( N ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } { 1 +  ( \cot ( N ) )  ^ { 2 } }
N, ( \cot ( N ) )  + e,(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) 1
N,\Sigma -  ( \cot ( N ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) - 1
N, ( \cot ( N ) )  A,(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) A
N,\frac { 1 } {  ( \cot ( N ) )  + \xi },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) - \frac { 1 } { (  ( \cot ( N ) )  + \xi ) ^ { 2 } }
N,\frac { 1 } { T -  ( \cot ( N ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( N ) } ) \frac { 1 } { ( T -  ( \cot ( N ) )  ) ^ { 2 } }
O, ( \cot ( O ) )  ^ { e },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) e  ( \cot ( O ) )  ^ { e - 1 }
O, ( \cot ( O ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) 0
O,\zeta ^ {  ( \cot ( O ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \zeta ^ {  ( \cot ( O ) )  } \ln ( \zeta )
O,e ^ {  ( \cot ( O ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) e ^ {  ( \cot ( O ) )  }
O,\exp (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \exp (  ( \cot ( O ) )  )
O,\ln (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } {  ( \cot ( O ) )  }
O,\log _ { t } (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } {  ( \cot ( O ) )  \ln ( { t } ) }
O,\sin (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \cos (  ( \cot ( O ) )  )
O,\cos (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) - \sin (  ( \cot ( O ) )  )
O,\tan (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( O ) )  ) }
O,\cot (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( O ) )  ) }
O,\arcsin (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( O ) )  ^ { 2 } } }
O,\arccos (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( O ) )  ^ { 2 } } }
O,\arctan (  ( \cot ( O ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } { 1 +  ( \cot ( O ) )  ^ { 2 } }
O, ( \cot ( O ) )  + \epsilon,(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) 1
O,\eta -  ( \cot ( O ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) - 1
O, ( \cot ( O ) )  R,(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) R
O,\frac { 1 } {  ( \cot ( O ) )  +  },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) - \frac { 1 } { (  ( \cot ( O ) )  +  ) ^ { 2 } }
O,\frac { 1 } { \Omega -  ( \cot ( O ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( O ) } ) \frac { 1 } { ( \Omega -  ( \cot ( O ) )  ) ^ { 2 } }
P, ( \cot ( P ) )  ^ { D },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) D  ( \cot ( P ) )  ^ { D - 1 }
P, ( \cot ( P ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) 0
P,H ^ {  ( \cot ( P ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) H ^ {  ( \cot ( P ) )  } \ln ( H )
P,e ^ {  ( \cot ( P ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) e ^ {  ( \cot ( P ) )  }
P,\exp (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \exp (  ( \cot ( P ) )  )
P,\ln (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } {  ( \cot ( P ) )  }
P,\log _ { p } (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } {  ( \cot ( P ) )  \ln ( { p } ) }
P,\sin (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \cos (  ( \cot ( P ) )  )
P,\cos (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) - \sin (  ( \cot ( P ) )  )
P,\tan (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } { \cos ^ { 2 } (  ( \cot ( P ) )  ) }
P,\cot (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) - \frac { 1 } { \sin ^ { 2 } (  ( \cot ( P ) )  ) }
P,\arcsin (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } { \sqrt { 1 -  ( \cot ( P ) )  ^ { 2 } } }
P,\arccos (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) - \frac { 1 } { \sqrt { 1 -  ( \cot ( P ) )  ^ { 2 } } }
P,\arctan (  ( \cot ( P ) )  ),(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } { 1 +  ( \cot ( P ) )  ^ { 2 } }
P, ( \cot ( P ) )  + m,(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) 1
P,h -  ( \cot ( P ) ) ,(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) - 1
P, ( \cot ( P ) )  A,(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) A
P,\frac { 1 } {  ( \cot ( P ) )  + \chi },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) - \frac { 1 } { (  ( \cot ( P ) )  + \chi ) ^ { 2 } }
P,\frac { 1 } { 4 -  ( \cot ( P ) )  },(  - \frac { 1 } { \sin ^ { 2 } ( P ) } ) \frac { 1 } { ( 4 -  ( \cot ( P ) )  ) ^ { 2 } }
Q, ( \cot ( Q ) )  ^ { f },(  - \frac { 1 } { \sin ^ { 2 } ( Q ) } ) f  ( \cot ( Q ) )  ^ { f - 1 }
Q, ( \cot ( Q ) )  ^ { 0 },(  - \frac { 1 } { \sin ^ { 2 } ( Q ) } ) 0
